geo_loc_name	count	center_latitude	center_longitude	radius_meters	status	inferred_lat	inferred_lon
USA: Tennessee, Great Smoky Mountains National Park	62	35.67452625806452	-83.58842919354842	172880.6	success	35.63422	-83.402366
USA: Tennessee, LeConte Creek	26	35.69076896153845	-83.50391250000001	165.9	success	35.707747	-83.5205215
USA: Tennessee, Oak Ridge	171	35.9526675438596	-84.26471182456126	5713.9	success	36.0103562	-84.2696449
USA: Tennessee, Walker Branch	24	35.95736474999998	-84.27924766666665	16.5	success	35.9523015	-84.2720111
USA: Texas	6	28.863455	-96.573125	515074.5	success	31.2638905	-98.5456116
USA: Texas, Deaf Smith County	6	34.737865	-102.32897266666667	31052.8	success	34.9323974	-102.5983118
USA: Texas, Huntsville	2	30.71308	-95.55	0	success	30.7235263	-95.5507771
USA: Texas, Lubbock County	1	33.505492	-101.961638	0	success	33.5831241	-101.818598
USA: Texas, Lyndon B. Johnson National Grassland	134	33.38861187313432	-97.59131741791036	7597.0	success	33.36984	-97.593456
USA: Toolik Field Station, Alaska	1	68.6427	-149.4034	0	success	68.6276503	-149.5942706
USA: Tyee, Oregon	1	43.4313	-123.5855	0	success	43.4434489	-123.5512015
USA: UT, San Juan	6	38.24828300000001	-109.38827000000002	0.0	success	37.5859438	-109.7852018
USA: UT, Tooele	4	40.177599	-112.45245	0	success	40.4062872	-113.1966394
USA: University of North Carolina	24	35.908199999999994	-79.0499	0.0	success	35.9050353	-79.0477533
USA: Utah	3	41.17103133333333	-111.72939766666667	87520.8	success	39.4225192	-111.714358
USA: Utah, Onaqui	209	40.18348903827752	-112.46596049760753	5479.5	success	40.2106006	-112.5610339
USA: Utah, Red Butte Creek	29	40.78388658620691	-111.79792475862072	29.6	success	40.7776943	-111.8115658
USA: Utah, Salt Lake City	14	40.76835556000002	-111.84626389999995	0.0	success	40.7596198	-111.886797
USA: VA, Clarke	4	39.033698	-78.041788	0	success	39.119728	-77.9926448
USA: VA, Giles	3	37.378314	-80.524847	0	success	37.3088528	-80.7098781
USA: VA, Warren	4	38.892925	-78.139494	0	success	38.9131907	-78.2096656
USA: Virginia	16	37.930872375	-78.648739375	274141.4	success	37.1232245	-78.4927721
USA: Virginia, Blandy Experimental Farm	62	39.07437404838712	-78.01026308064515	5719.2	success	39.060711	-78.0655341
USA: Virginia, Lewis Run	20	39.095353200000005	-77.98285960000001	176.3	success	38.3051572	-77.6681658
USA: Virginia, Mountain Lake Biological Station	62	37.38258222580644	-80.53261645161288	6119.3	success	37.3637602	-80.5226996
USA: Virginia, Smithsonian Conservation Biology Institute	134	38.8924823731343	-78.14290863432831	2280.5	success	38.8847957	-78.1461968
USA: WA, Clark	6	45.762439	-122.33032000000001	0.0	success	45.7669047	-122.4940866
